,security_id,date,close,adjusted_price
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-04-29,24.2200,24.2200
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-04-30,24.2200,24.2200
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-05-01,24.9300,24.9300
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-05-02,27.3400,27.3400
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-05-03,29.5000,29.5000
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-05-04,29.3100,29.3100
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-05-05,27.2100,27.2100
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-05-06,27.2100,27.2100
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-05-07,27.2100,27.2100
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-05-08,26.1800,26.1800
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-05-09,25.6700,25.6700
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-05-10,25.9700,25.9700
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-05-11,26.9000,26.9000
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-05-12,27.9800,27.9800
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-05-13,27.9800,27.9800
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-05-14,27.9800,27.9800
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-05-15,27.1400,27.1400
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-05-16,27.4900,27.4900
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-05-17,25.6900,25.6900
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-05-18,26.1400,26.1400
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-05-19,26.3200,26.3200
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-05-20,26.3200,26.3200
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-05-21,26.3200,26.3200
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-05-22,26.3400,26.3400
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-05-23,25.5900,25.5900
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-05-24,24.9700,24.9700
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-05-25,26.1100,26.1100
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-05-26,25.5100,25.5100
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-05-27,25.5100,25.5100
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-05-28,25.5100,25.5100
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-05-29,25.5100,25.5100
1,sec-s-196a05164bad4499b58d7514e70cac89,2023-05-30,27.4100,27.4100
